기관유형,기관명,기관코드,하위기관수,총구매액,녹색구매액,구매비율,연도
시장형공기업,한국서부발전주식회사,Z003597,6,7275197438,3728853138,51.3,2021
시장형공기업,한국석유공사,B410005,13,251791000,114093200,45.3,2021
시장형공기업,한국수력원자력(주),Z003617,25,35204874200,24628099442,70.0,2021
시장형공기업,한국전력공사,B410002,293,70232581054,29960678476,42.7,2021
시장형공기업,한국중부발전주식회사,B552521,8,5113118874,3936263671,77.0,2021
시장형공기업,한국지역난방공사,B550373,21,10686569998,6021948168,56.4,2021
준시장형공기업,(주)에스알,Z026631,0,251566096,207839496,82.6,2021
준시장형공기업,(주)한국가스기술공사,B551494,14,2363192605,1165325763,49.3,2021
준시장형공기업,그랜드코리아레저(주),Z012439,0,233863520,233863520,100.0,2021
준시장형공기업,대한석탄공사,B410004,18,445506430,119064240,26.7,2021
